2017-05-21 05:19:02,916 [            Logging.java:http-nio-8080-exec-1:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"id":4,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":5,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":1,"title":"Kol","expiry":1485196500000}]}

2017-05-21 05:19:09,965 [            Logging.java:http-nio-8080-exec-2:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 05:19:09,965 [            Logging.java:http-nio-8080-exec-2:56] - Response	{"code":0,"description":"SUCCESS","rating":4.5,"offer":[{"id":4,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":5,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":1,"title":"Kol","expiry":1485196500000}]}

2017-05-21 05:19:45,333 [            Logging.java:http-nio-8080-exec-4:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"title":"taaha","expiry":"1485196500000"}}
2017-05-21 05:19:45,334 [            Logging.java:http-nio-8080-exec-4:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"id":4,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":5,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":1,"title":"Kol","expiry":1485196500000}]}

2017-05-21 05:20:20,014 [            Logging.java:http-nio-8080-exec-5:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":0}}
2017-05-21 05:20:20,015 [            Logging.java:http-nio-8080-exec-5:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 05:20:33,699 [            Logging.java:http-nio-8080-exec-7:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":0}}
2017-05-21 05:20:33,699 [            Logging.java:http-nio-8080-exec-7:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 05:21:33,444 [            Logging.java:http-nio-8080-exec-8:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":0}}
2017-05-21 05:21:33,445 [            Logging.java:http-nio-8080-exec-8:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 05:22:12,293 [            Logging.java:http-nio-8080-exec-9:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":0}}
2017-05-21 05:22:12,293 [            Logging.java:http-nio-8080-exec-9:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 05:23:33,366 [            Logging.java:http-nio-8080-exec-1:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":0}}
2017-05-21 05:23:33,366 [            Logging.java:http-nio-8080-exec-1:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 05:23:56,961 [            Logging.java:http-nio-8080-exec-2:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"title":"Taaha","expiry":"1485282900000"}}
2017-05-21 05:23:56,962 [            Logging.java:http-nio-8080-exec-2:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"id":4,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":5,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":1,"title":"Kol","expiry":1485196500000}]}

2017-05-21 05:24:27,692 [            Logging.java:http-nio-8080-exec-3:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 05:24:27,692 [            Logging.java:http-nio-8080-exec-3:56] - Response	{"code":0,"description":"SUCCESS","rating":4.5,"offer":[{"id":4,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":5,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":1,"title":"Kol","expiry":1485196500000}]}

2017-05-21 05:24:51,480 [            Logging.java:http-nio-8080-exec-4:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"title":"ok","expiry":"1485023700000"}}
2017-05-21 05:24:51,481 [            Logging.java:http-nio-8080-exec-4:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"id":4,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":5,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":1,"title":"Kol","expiry":1485196500000}]}

2017-05-21 07:09:18,598 [            Logging.java:http-nio-8080-exec-1:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:09:18,602 [            Logging.java:http-nio-8080-exec-1:56] - Response	{"code":0,"rating":0.0,"offer":[{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:09:37,061 [            Logging.java:http-nio-8080-exec-2:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"title":"kol","expiry":"1485023700000"}}
2017-05-21 07:09:37,067 [            Logging.java:http-nio-8080-exec-2:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"id":4,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":5,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":1,"title":"Kol","expiry":1485196500000},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:10:02,513 [            Logging.java:http-nio-8080-exec-3:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:10:02,513 [            Logging.java:http-nio-8080-exec-3:56] - Response	{"code":0,"rating":0.0,"offer":[{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:10:09,081 [            Logging.java:http-nio-8080-exec-4:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:10:09,082 [            Logging.java:http-nio-8080-exec-4:56] - Response	{"code":0,"rating":0.0,"offer":[{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:10:50,924 [            Logging.java:http-nio-8080-exec-6:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:10:50,924 [            Logging.java:http-nio-8080-exec-6:56] - Response	{"code":0,"rating":0.0,"offer":[{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:12:09,899 [            Logging.java:http-nio-8080-exec-9:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:12:09,899 [            Logging.java:http-nio-8080-exec-9:56] - Response	{"code":0,"rating":0.0,"offer":[{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:15:27,312 [            Logging.java:http-nio-8080-exec-1:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:15:27,317 [            Logging.java:http-nio-8080-exec-1:56] - Response	{"code":0,"rating":0.0,"offer":[{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:15:47,166 [            Logging.java:http-nio-8080-exec-2:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:15:47,167 [            Logging.java:http-nio-8080-exec-2:56] - Response	{"code":0,"rating":0.0,"offer":[{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:15:52,166 [            Logging.java:http-nio-8080-exec-3:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:15:52,166 [            Logging.java:http-nio-8080-exec-3:56] - Response	{"code":0,"rating":0.0,"offer":[{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":6,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:16:04,117 [            Logging.java:http-nio-8080-exec-4:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":6,"title":"vdhs","expiry":"1485110100000"}}
2017-05-21 07:16:04,118 [            Logging.java:http-nio-8080-exec-4:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"offer_id":4,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":5,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":1,"title":"Kol","expiry":1485196500000},{"offer_id":6,"title":"vdhs","expiry":1485110100000}]}

2017-05-21 07:17:13,897 [            Logging.java:http-nio-8080-exec-1:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:17:13,918 [            Logging.java:http-nio-8080-exec-1:56] - Response	{"code":0,"rating":0.0,"offer":[{"id":6,"title":"vdhs","expiry":1485110100000},{"id":6,"title":"vdhs","expiry":1485110100000},{"id":6,"title":"vdhs","expiry":1485110100000},{"id":6,"title":"vdhs","expiry":1485110100000}]}

2017-05-21 07:18:07,873 [            Logging.java:http-nio-8080-exec-2:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":4}}
2017-05-21 07:18:07,874 [            Logging.java:http-nio-8080-exec-2:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 07:18:34,465 [            Logging.java:http-nio-8080-exec-4:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":6}}
2017-05-21 07:18:34,466 [            Logging.java:http-nio-8080-exec-4:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 07:18:38,961 [            Logging.java:http-nio-8080-exec-5:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":1}}
2017-05-21 07:18:38,962 [            Logging.java:http-nio-8080-exec-5:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 07:18:40,579 [            Logging.java:http-nio-8080-exec-6:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":5}}
2017-05-21 07:18:40,580 [            Logging.java:http-nio-8080-exec-6:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 07:18:46,689 [            Logging.java:http-nio-8080-exec-8:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:18:46,690 [            Logging.java:http-nio-8080-exec-8:56] - Response	{"code":0,"rating":0.0,"offer":[]}

2017-05-21 07:19:50,861 [            Logging.java:http-nio-8080-exec-1:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:19:50,866 [            Logging.java:http-nio-8080-exec-1:56] - Response	{"code":0,"rating":0.0,"offer":[]}

2017-05-21 07:20:04,139 [            Logging.java:http-nio-8080-exec-2:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":"1495304543223"}}
2017-05-21 07:20:04,140 [            Logging.java:http-nio-8080-exec-2:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223}]}

2017-05-21 07:20:12,202 [            Logging.java:http-nio-8080-exec-3:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"desc":"muneer","title":"vfn;v","expiry":"1495304543223"}}
2017-05-21 07:20:12,203 [            Logging.java:http-nio-8080-exec-3:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223}]}

2017-05-21 07:20:27,156 [            Logging.java:http-nio-8080-exec-4:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:20:27,157 [            Logging.java:http-nio-8080-exec-4:56] - Response	{"code":0,"rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223}]}

2017-05-21 07:22:19,107 [            Logging.java:http-nio-8080-exec-10:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"desc":"muneer","title":"vfn;v","expiry":"1495304543223"}}
2017-05-21 07:22:19,107 [            Logging.java:http-nio-8080-exec-10:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223},{"offer_id":9,"desc":"muneer","title":"vfn;v","expiry":1495304543223}]}

2017-05-21 07:22:40,657 [            Logging.java:http-nio-8080-exec-2:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"desc":"slpywa","title":"Titlewa","expiry":"1485110100000"}}
2017-05-21 07:22:40,657 [            Logging.java:http-nio-8080-exec-2:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223},{"offer_id":9,"desc":"muneer","title":"vfn;v","expiry":1495304543223},{"offer_id":10,"desc":"slpywa","title":"Titlewa","expiry":1485110100000}]}

2017-05-21 07:24:01,816 [            Logging.java:http-nio-8080-exec-6:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:24:01,817 [            Logging.java:http-nio-8080-exec-6:56] - Response	{"code":0,"rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223},{"offer_id":9,"desc":"muneer","title":"vfn;v","expiry":1495304543223},{"offer_id":10,"desc":"slpywa","title":"Titlewa","expiry":1485110100000}]}

2017-05-21 07:24:11,659 [            Logging.java:http-nio-8080-exec-7:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":10}}
2017-05-21 07:24:11,660 [            Logging.java:http-nio-8080-exec-7:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 07:24:14,432 [            Logging.java:http-nio-8080-exec-8:55] - Request	{"lat":0.0,"lng":0.0,"offer":{"offer_id":9}}
2017-05-21 07:24:14,433 [            Logging.java:http-nio-8080-exec-8:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0}

2017-05-21 07:24:16,102 [            Logging.java:http-nio-8080-exec-9:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0}
2017-05-21 07:24:16,103 [            Logging.java:http-nio-8080-exec-9:56] - Response	{"code":0,"rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223}]}

2017-05-21 07:24:31,212 [            Logging.java:http-nio-8080-exec-10:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"desc":"wb","title":"kolka","expiry":"1485110100000"}}
2017-05-21 07:24:31,212 [            Logging.java:http-nio-8080-exec-10:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223},{"offer_id":11,"desc":"wb","title":"kolka","expiry":1485110100000}]}

2017-05-21 07:26:37,912 [            Logging.java:http-nio-8080-exec-3:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"desc":"dgdhhs","title":"gdhsh","expiry":"1485110100000"}}
2017-05-21 07:26:37,913 [            Logging.java:http-nio-8080-exec-3:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223},{"offer_id":11,"desc":"wb","title":"kolka","expiry":1485110100000},{"offer_id":12,"desc":"dgdhhs","title":"gdhsh","expiry":1485110100000}]}

2017-05-21 07:27:33,460 [            Logging.java:http-nio-8080-exec-4:55] - Request	{"merchant_id":"919999635340","lat":0.0,"lng":0.0,"offer":{"offer_id":0,"desc":"taaha","title":"gzgshshzhshsh","expiry":"1485196500000"}}
2017-05-21 07:27:33,460 [            Logging.java:http-nio-8080-exec-4:56] - Response	{"code":0,"description":"SUCCESS","rating":0.0,"offer":[{"offer_id":7,"desc":"muneer","title":"eluwvekryvfj3rfvr;v","expiry":1495304543223},{"offer_id":8,"desc":"muneer","title":"vfn;v","expiry":1495304543223},{"offer_id":11,"desc":"wb","title":"kolka","expiry":1485110100000},{"offer_id":12,"desc":"dgdhhs","title":"gdhsh","expiry":1485110100000},{"offer_id":13,"desc":"taaha","title":"gzgshshzhshsh","expiry":1485196500000}]}

